[2026-03-12 18:06:14] Temp: 23.6°C | Lat: 12.97, Lon: 77.59
[2026-03-13 01:48:34] Temp: 19.4°C | Lat: 12.97, Lon: 77.59
[2026-03-14 01:46:34] Temp: 19.6°C | Lat: 12.97, Lon: 77.59
[2026-03-15 02:02:07] Temp: 19.5°C | Lat: 12.97, Lon: 77.59
[2026-03-16 02:03:53] Temp: 19.5°C | Lat: 12.97, Lon: 77.59
[2026-03-17 01:51:06] Temp: 20.0°C | Lat: 12.97, Lon: 77.59
[2026-03-18 01:55:17] Temp: 19.9°C | Lat: 12.97, Lon: 77.59
[2026-03-19 01:56:21] Temp: 18.0°C | Lat: 12.97, Lon: 77.59
[2026-03-20 01:50:46] Temp: 19.4°C | Lat: 12.97, Lon: 77.59
[2026-03-20 09:22:51] Temp: 30.6°C | Lat: 12.97, Lon: 77.59
[2026-03-21 01:44:45] Temp: 21.5°C | Lat: 12.97, Lon: 77.59
[2026-03-22 01:55:46] Temp: 21.7°C | Lat: 12.97, Lon: 77.59
